Campaign	Station - Device Operation	Device Types	Device Types Code	Device	Device Code	Date/Time (Start)	Action (Start)	 (Start)	 (Start)	Depth (m) (Start)	Comment (Start)	Date/Time (End)	Action (End)	 (End)	 (End)	Depth (m) (End)	Comment (End)	Date/Time station start	 station start	 station start	Depth (m) station start	Comment station start	Date/Time profile start	 profile start	 profile start	Depth (m) profile start	Comment profile start	Date/Time max depth/on ground	 max depth/on ground	 max depth/on ground	Depth (m) max depth/on ground	Comment max depth/on ground	Date/Time station end	 station end	 station end	Depth (m) station end	Comment station end	Date/Time profile end	 profile end	 profile end	Depth (m) profile end	Comment profile end	Comment (Station)	Comment (Device Operation)
M161	M161_105-1	Methane Sensor,Oxygen Sensor,Water Sampler,Positioning System,Altimeter,Fluorometer,Conductivity-Temperature-Depth Sensors	METHAN,O2,WS,POS,ALTI,FLU,CTD	CTD	CTD	2020/02/02 00:22:53	in the water			4509	W2, clean ship	2020/02/02 00:55:47	on deck			4510												2020/02/02 00:39:52			4511	SLmax = 800m												
M161	M161_106-1	Methane Sensor,Conductivity-Temperature-Depth Sensors,Fluorometer,Altimeter,Positioning System,Water Sampler,Oxygen Sensor	METHAN,CTD,FLU,ALTI,POS,WS,O2	CTD	CTD	2020/02/02 06:20:25	in the water			4461	W2, clean ship	2020/02/02 06:56:33	on deck			4457												2020/02/02 06:38:09			4454	SLmax = 800m												
M161	M161_107-1	Methane Sensor,Conductivity-Temperature-Depth Sensors,Fluorometer,Altimeter,Positioning System,Water Sampler,Oxygen Sensor	METHAN,CTD,FLU,ALTI,POS,WS,O2	CTD	CTD	2020/02/02 08:22:21	in the water			4501	W2, clean ship	2020/02/02 08:57:56	on deck			4500												2020/02/02 08:40:34			4500	SLmax = 800m												
M161	M161_108-1	Conductivity-Temperature-Depth Sensors,Fluorometer,Altimeter,Positioning System,Water Sampler,Oxygen Sensor,Methane Sensor	CTD,FLU,ALTI,POS,WS,O2,METHAN	CTD	CTD	2020/02/02 10:24:51	in the water			4457	W2, clean ship	2020/02/02 11:00:08	on deck			4458												2020/02/02 10:42:52			4460	SLmax = 800m												
M161	M161_109-1	Methane Sensor,Oxygen Sensor,Water Sampler,Positioning System,Altimeter,Fluorometer,Conductivity-Temperature-Depth Sensors	METHAN,O2,WS,POS,ALTI,FLU,CTD	CTD	CTD	2020/02/02 13:40:43	in the water			4494	W2, clean ship	2020/02/02 14:14:21	on deck			4494												2020/02/02 13:58:36			4494	SLmax = 800m												
M161	M161_110-1	Methane Sensor,Conductivity-Temperature-Depth Sensors,Fluorometer,Altimeter,Positioning System,Water Sampler,Oxygen Sensor	METHAN,CTD,FLU,ALTI,POS,WS,O2	CTD	CTD	2020/02/02 16:50:07	in the water			4471	W2, clean ship	2020/02/02 17:29:24	on deck			4471												2020/02/02 17:08:26			4473	SLmax = 800m												
M161	M161_111-1	Fluorometer,Methane Sensor,Oxygen Sensor,Water Sampler,Positioning System,Altimeter,Conductivity-Temperature-Depth Sensors	FLU,METHAN,O2,WS,POS,ALTI,CTD	CTD	CTD	2020/02/02 19:48:44	in the water			4492	W2, clean ship	2020/02/02 20:23:45	on deck			4493												2020/02/02 20:06:15			4494	SLmax = 800m												
M161	M161_112-1	Oxygen Sensor,Methane Sensor,Conductivity-Temperature-Depth Sensors,Fluorometer,Altimeter,Positioning System,Water Sampler	O2,METHAN,CTD,FLU,ALTI,POS,WS	CTD	CTD	2020/02/02 22:58:00	in the water			4461	WS2, clean ship	2020/02/02 23:32:29	on deck			4458												2020/02/02 23:15:48			4464	SLmax = 800m												
