Campaign	Station - Device Operation	Device Types	Device Types Code	Device	Device Code	Date/Time (Start)	Action (Start)	 (Start)	 (Start)	Depth (m) (Start)	Comment (Start)	Date/Time (End)	Action (End)	 (End)	 (End)	Depth (m) (End)	Comment (End)	Date/Time station start	 station start	 station start	Depth (m) station start	Comment station start	Date/Time profile start	 profile start	 profile start	Depth (m) profile start	Comment profile start	Date/Time max depth/on ground	 max depth/on ground	 max depth/on ground	Depth (m) max depth/on ground	Comment max depth/on ground	Date/Time station end	 station end	 station end	Depth (m) station end	Comment station end	Date/Time profile end	 profile end	 profile end	Depth (m) profile end	Comment profile end	Comment (Station)	Comment (Device Operation)
M161	M161_41-1	Optical Sensor	OS	Cloudkite	CKITE	2020/02/04 13:38:48	on deck			4494		2020/02/04 13:38:48	on deck			4494																												
M161	M161_115-1	Altimeter,Oxygen Sensor,Water Sampler,Positioning System,Methane Sensor,Fluorometer,Conductivity-Temperature-Depth Sensors	ALTI,O2,WS,POS,METHAN,FLU,CTD	CTD	CTD	2020/02/04 05:10:34	in the water			3856	W2, clean ship	2020/02/04 06:04:53	on deck			3847												2020/02/04 05:28:27			3848	SLmax = 800m												
M161	M161_116-1	Positioning System,Methane Sensor,Oxygen Sensor,Water Sampler,Altimeter,Fluorometer,Conductivity-Temperature-Depth Sensors	POS,METHAN,O2,WS,ALTI,FLU,CTD	CTD	CTD	2020/02/04 07:23:20	in the water			3850	W2, clean ship	2020/02/04 07:49:14	on deck			3847												2020/02/04 07:31:42			3846	SLmax = 250m												
M161	M161_117-1	Methane Sensor,Oxygen Sensor,Water Sampler,Positioning System,Altimeter,Fluorometer,Conductivity-Temperature-Depth Sensors	METHAN,O2,WS,POS,ALTI,FLU,CTD	CTD	CTD	2020/02/04 11:17:04	in the water			4459	W2, clean ship	2020/02/04 11:52:54	on deck			4458												2020/02/04 11:36:05			4459	SL max = 800m												
M161	M161_118-1	Methane Sensor,Oxygen Sensor,Water Sampler,Positioning System,Altimeter,Fluorometer,Conductivity-Temperature-Depth Sensors	METHAN,O2,WS,POS,ALTI,FLU,CTD	CTD	CTD	2020/02/04 18:33:05	in the water			4737	W2, clean ship	2020/02/04 19:12:40	on deck			4740												2020/02/04 18:52:09			4742	SL max = 800m												
M161	M161_119-1	Methane Sensor,Oxygen Sensor,Water Sampler,Positioning System,Altimeter,Fluorometer,Conductivity-Temperature-Depth Sensors	METHAN,O2,WS,POS,ALTI,FLU,CTD	CTD	CTD	2020/02/04 21:49:13	in the water			4952	W2, clean ship	2020/02/04 22:07:13	max depth/on ground			4952	SL max = 800m											2020/02/04 22:07:13			4952	SL max = 800m												
