Station - Device Operation	date time	Device	Device Code	Action	Comment (Station)	Comment (Device Operation)	Comment (Action)	Expedition Status	Latitude	Longitude	Depth (m)	Speed (kn)	Course	Wind Dir	Wind Velocity	Winch	Rope Length (m)
M161_6-1	2020/01/20 20:33:35	CTD	CTD	in the water			W2	started	14° 10.635' N	057° 14.828' W	5164	0	236.9	84.0	9.1	02	0
M161_6-1	2020/01/20 20:52:37	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.657' N	057° 15.193' W	5152	3	270.1	78.0	8.6	02	800
M161_6-1	2020/01/20 21:10:10	CTD	CTD	on deck				started	14° 10.681' N	057° 15.530' W	5146	2	291.4	82.0	8.0	02	0
M161_7-1	2020/01/20 23:46:31	CTD	CTD	in the water			W2	started	13° 47.063' N	057° 14.793' W	4838	2	307.2	74.0	8.3	02	0
M161_7-1	2020/01/21 00:05:22	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 47.071' N	057° 15.070' W	4838	1	54.9	76.0	8.8	02	800
M161_7-1	2020/01/21 00:22:36	CTD	CTD	on deck				started	13° 47.082' N	057° 15.327' W	4852	0	280.2	69.0	8.2	02	0
M161_8-1	2020/01/21 02:47:22	CTD	CTD	in the water			W2	started	13° 27.181' N	057° 14.728' W	4929	1	249.6	70.0	9.7	02	1
M161_8-1	2020/01/21 03:05:41	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 27.178' N	057° 14.989' W	4929	1	288.2	68.0	9.6	02	800
M161_8-1	2020/01/21 03:23:56	CTD	CTD	on deck				started	13° 27.170' N	057° 15.273' W	4931	1	308.3	71.0	9.6	02	0
M161_9-1	2020/01/21 05:47:45	CTD	CTD	in the water			W2, clean ship	started	13° 07.120' N	057° 14.762' W	4926	1	72.5	63.0	10.9	02	0
M161_9-1	2020/01/21 06:08:17	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 07.095' N	057° 15.032' W	4915	0	80.1	66.0	10.7	02	800
M161_9-1	2020/01/21 06:45:10	CTD	CTD	on deck				started	13° 07.020' N	057° 15.512' W	4902	1	229.2	62.0	10.6	02	0
M161_10-1	2020/01/21 08:34:53	CTD	CTD	in the water			W2, clean ship	started	13° 06.827' N	057° 16.952' W	4883	1	229.9	76.0	9.6	02	0
M161_10-1	2020/01/21 08:43:57	CTD	CTD	max depth/on ground			SLmax = 200m	started	13° 06.819' N	057° 17.054' W	4885	2	262.0	66.0	10.8	02	200
M161_10-1	2020/01/21 09:01:21	CTD	CTD	on deck				started	13° 06.804' N	057° 17.252' W	4883	1	298.3	65.0	10.7	02	0
M161_11-1	2020/01/21 12:06:00	CTD	CTD	in the water			W2, clean ship	started	13° 31.480' N	057° 14.839' W	4939	2	304.0	56.0	6.0	02	1
M161_11-1	2020/01/21 12:25:50	CTD	CTD	max depth/on ground			SLmax = 800m	started	13° 31.510' N	057° 15.216' W	4940	1	328.7	64.0	6.9	02	801
