Campaign	Station - Device Operation	Device Types	Device Types Code	Device	Device Code	Date/Time (Start)	Action (Start)	 (Start)	 (Start)	Depth (m) (Start)	Comment (Start)	Date/Time (End)	Action (End)	 (End)	 (End)	Depth (m) (End)	Comment (End)	Date/Time station start	 station start	 station start	Depth (m) station start	Comment station start	Date/Time profile start	 profile start	 profile start	Depth (m) profile start	Comment profile start	Date/Time max depth/on ground	 max depth/on ground	 max depth/on ground	Depth (m) max depth/on ground	Comment max depth/on ground	Date/Time station end	 station end	 station end	Depth (m) station end	Comment station end	Date/Time profile end	 profile end	 profile end	Depth (m) profile end	Comment profile end	Comment (Station)	Comment (Device Operation)
M161	M161_11-1	Oxygen Sensor,Altimeter,Positioning System,Methane Sensor,Fluorometer,Water Sampler,Conductivity-Temperature-Depth Sensors	O2,ALTI,POS,METHAN,FLU,WS,CTD	CTD	CTD	2020/01/21 12:06:00	in the water			4939	W2, clean ship	2020/01/21 12:42:30	on deck			4939												2020/01/21 12:25:50			4940	SLmax = 800m												
M161	M161_12-1	Positioning System,Oxygen Sensor,Water Sampler,Conductivity-Temperature-Depth Sensors,Fluorometer,Altimeter,Methane Sensor	POS,O2,WS,CTD,FLU,ALTI,METHAN	CTD	CTD	2020/01/21 14:35:57	in the water			4869	W2	2020/01/21 15:12:43	on deck			4881												2020/01/21 14:54:16			4875	SLmax = 800m												
M161	M161_13-1	Oxygen Sensor,Altimeter,Water Sampler,Methane Sensor,Fluorometer,Conductivity-Temperature-Depth Sensors,Positioning System	O2,ALTI,WS,METHAN,FLU,CTD,POS	CTD	CTD	2020/01/21 18:31:13	in the water			5313	W2, clean ship	2020/01/21 19:08:08	on deck			5287												2020/01/21 18:51:28			5289	SLmax = 800m												
M161	M161_14-1	Altimeter,Water Sampler,Positioning System,Methane Sensor,Oxygen Sensor,Fluorometer,Conductivity-Temperature-Depth Sensors	ALTI,WS,POS,METHAN,O2,FLU,CTD	CTD	CTD	2020/01/21 21:28:41	in the water			5171	W2, clean ship	2020/01/21 22:04:43	on deck			5175												2020/01/21 21:47:15			5170	SLmax = 800m												
M161	M161_15-1	Altimeter,Positioning System,Oxygen Sensor,Water Sampler,Fluorometer,Methane Sensor,Conductivity-Temperature-Depth Sensors	ALTI,POS,O2,WS,FLU,METHAN,CTD	CTD	CTD	2020/01/22 00:35:55	in the water			5122	W2, clean ship	2020/01/22 01:12:55	on deck			5124												2020/01/22 00:54:57			5133	SLmax = 800m												
M161	M161_16-1	Methane Sensor,Fluorometer,Positioning System,Altimeter,Conductivity-Temperature-Depth Sensors,Oxygen Sensor,Water Sampler	METHAN,FLU,POS,ALTI,CTD,O2,WS	CTD	CTD	2020/01/22 03:43:01	in the water			5164	W2, clean ship	2020/01/22 04:18:44	on deck			5165												2020/01/22 04:01:31			5181	SLmax = 800m												
M161	M161_17-1	Methane Sensor,Water Sampler,Positioning System,Oxygen Sensor,Fluorometer,Conductivity-Temperature-Depth Sensors,Altimeter	METHAN,WS,POS,O2,FLU,CTD,ALTI	CTD	CTD	2020/01/22 07:35:30	in the water			5505	W2, clean ship	2020/01/22 08:10:54	on deck			5511												2020/01/22 07:53:38			5504	SLmax = 800m												
M161	M161_18-1	Fluorometer,Conductivity-Temperature-Depth Sensors,Methane Sensor,Water Sampler,Positioning System,Oxygen Sensor,Altimeter	FLU,CTD,METHAN,WS,POS,O2,ALTI	CTD	CTD	2020/01/22 10:17:12	in the water			5173	W2, clean ship	2020/01/22 11:09:56	on deck			5175												2020/01/22 10:40:13			5170	SLmax = 1000m												
M161	M161_19-1	Methane Sensor,Positioning System,Conductivity-Temperature-Depth Sensors,Water Sampler,Oxygen Sensor,Altimeter,Fluorometer	METHAN,POS,CTD,WS,O2,ALTI,FLU	CTD	CTD	2020/01/22 14:04:15	in the water			5173	W2, clean ship	2020/01/22 14:41:41	on deck			5172												2020/01/22 14:23:56			5207	SLmax = 800m												
M161	M161_20-1	Water Sampler,Methane Sensor,Fluorometer,Conductivity-Temperature-Depth Sensors,Positioning System,Oxygen Sensor,Altimeter	WS,METHAN,FLU,CTD,POS,O2,ALTI	CTD	CTD	2020/01/22 16:09:33	in the water			5173	W2, clean ship	2020/01/22 16:46:16	on deck			5174												2020/01/22 16:27:55			5176	SLmax = 800m												
M161	M161_21-1	Water Sampler,Oxygen Sensor,Altimeter,Positioning System,Fluorometer,Methane Sensor,Conductivity-Temperature-Depth Sensors	WS,O2,ALTI,POS,FLU,METHAN,CTD	CTD	CTD	2020/01/22 18:03:30	in the water			5174	W2, clean ship	2020/01/22 18:42:05	on deck			5172												2020/01/22 18:22:25			5172	SLmax = 800m												
M161	M161_22-1	Altimeter,Conductivity-Temperature-Depth Sensors,Methane Sensor,Positioning System,Oxygen Sensor,Fluorometer,Water Sampler	ALTI,CTD,METHAN,POS,O2,FLU,WS	CTD	CTD	2020/01/22 19:59:53	in the water			5175	W2, clean ship	2020/01/22 20:35:05	on deck			5173												2020/01/22 20:17:48			5174	SLmax = 800m												
M161	M161_23-1	Oxygen Sensor,Fluorometer,Positioning System,Altimeter,Conductivity-Temperature-Depth Sensors,Water Sampler,Methane Sensor	O2,FLU,POS,ALTI,CTD,WS,METHAN	CTD	CTD	2020/01/22 22:03:07	in the water			5176	W2, clean ship	2020/01/22 22:46:10	on deck			5171												2020/01/22 22:25:20			5170	SLmax =1000m												
M161	M161_24-1	Conductivity-Temperature-Depth Sensors,Fluorometer,Methane Sensor,Altimeter,Positioning System,Oxygen Sensor,Water Sampler	CTD,FLU,METHAN,ALTI,POS,O2,WS	CTD	CTD	2020/01/23 00:00:09	in the water			5170	W2, clean ship	2020/01/23 00:36:40	on deck			5170												2020/01/23 00:20:12			5178	SLmax = 800m												
M161	M161_25-1	Water Sampler,Altimeter,Positioning System,Fluorometer,Oxygen Sensor,Methane Sensor,Conductivity-Temperature-Depth Sensors	WS,ALTI,POS,FLU,O2,METHAN,CTD	CTD	CTD	2020/01/23 02:00:53	in the water			5171	W2, clean ship	2020/01/23 02:31:33	on deck			5170												2020/01/23 02:16:53			5170	SLmax = 800m												
M161	M161_26-1	Fluorometer,Oxygen Sensor,Positioning System,Conductivity-Temperature-Depth Sensors,Altimeter,Water Sampler,Methane Sensor	FLU,O2,POS,CTD,ALTI,WS,METHAN	CTD	CTD	2020/01/23 04:01:44	in the water			5173	W2, clean ship	2020/01/23 04:38:34	on deck			5171												2020/01/23 04:20:21			5173	SLmax = 800m												
M161	M161_27-1	Conductivity-Temperature-Depth Sensors,Oxygen Sensor,Water Sampler,Methane Sensor,Altimeter,Positioning System,Fluorometer	CTD,O2,WS,METHAN,ALTI,POS,FLU	CTD	CTD	2020/01/23 06:01:23	in the water			5201	W2, clean ship	2020/01/23 06:37:42	on deck			5173												2020/01/23 06:19:29			5178	SLmax = 800m												
M161	M161_28-1	Altimeter,Conductivity-Temperature-Depth Sensors,Positioning System,Fluorometer,Methane Sensor,Oxygen Sensor,Water Sampler	ALTI,CTD,POS,FLU,METHAN,O2,WS	CTD	CTD	2020/01/23 07:59:54	in the water			5173	W2, clean ship	2020/01/23 08:35:42	on deck			5175												2020/01/23 08:18:55			5172	SLmax = 800m												
M161	M161_29-1	Altimeter,Positioning System,Conductivity-Temperature-Depth Sensors,Fluorometer,Water Sampler,Oxygen Sensor,Methane Sensor	ALTI,POS,CTD,FLU,WS,O2,METHAN	CTD	CTD	2020/01/23 10:00:01	in the water			5174	W2, clean ship	2020/01/23 10:56:21	on deck			5171												2020/01/23 10:22:17			5172	SLmax = 1000m												
M161	M161_30-1	Glider	GLD	Glider	GLIDER	2020/01/23 14:19:35	in the water			5172		2020/01/23 14:19:35	in the water			5172																												
M161	M161_31-1	Glider	GLD	Glider	GLIDER	2020/01/23 14:56:14	in the water			5171		2020/01/23 14:56:14	in the water			5171																												
M161	M161_32-1	Fluorometer,Altimeter,Methane Sensor,Conductivity-Temperature-Depth Sensors,Positioning System,Oxygen Sensor,Water Sampler	FLU,ALTI,METHAN,CTD,POS,O2,WS	CTD	CTD	2020/01/23 15:11:45	in the water			5171	W2, clean ship	2020/01/23 15:35:47	on deck			5173												2020/01/23 15:24:19			5170	SLmax = 500m												
M161	M161_33-1	Methane Sensor,Altimeter,Water Sampler,Oxygen Sensor,Conductivity-Temperature-Depth Sensors,Positioning System,Fluorometer	METHAN,ALTI,WS,O2,CTD,POS,FLU	CTD	CTD	2020/01/23 17:34:38	in the water			5099	W2, clean ship	2020/01/23 18:03:56	on deck			5100												2020/01/23 17:47:40			5100	SLmax = 500m												
M161	M161_34-1	Water Sampler,Conductivity-Temperature-Depth Sensors,Methane Sensor,Fluorometer,Positioning System,Oxygen Sensor,Altimeter	WS,CTD,METHAN,FLU,POS,O2,ALTI	CTD	CTD	2020/01/23 19:37:15	in the water			5252	W2, clean ship	2020/01/23 20:04:01	on deck			5251												2020/01/23 19:51:16			5249	SLmax = 500m												
M161	M161_35-1	Water Sampler,Positioning System,Fluorometer,Methane Sensor,Oxygen Sensor,Altimeter,Conductivity-Temperature-Depth Sensors	WS,POS,FLU,METHAN,O2,ALTI,CTD	CTD	CTD	2020/01/23 22:18:40	in the water			5321	W2, clean ship	2020/01/23 22:43:05	on deck			5331												2020/01/23 22:31:16			5322	SLmax = 500m												
M161	M161_36-1	Water Sampler,Positioning System,Methane Sensor,Oxygen Sensor,Conductivity-Temperature-Depth Sensors,Fluorometer,Altimeter	WS,POS,METHAN,O2,CTD,FLU,ALTI	CTD	CTD	2020/01/24 00:44:29	in the water			5013	W2, clean ship	2020/01/24 01:10:53	on deck			5014												2020/01/24 00:58:39			5015	SLmax = 500m												
M161	M161_37-1	Water Sampler,Fluorometer,Methane Sensor,Oxygen Sensor,Conductivity-Temperature-Depth Sensors,Positioning System,Altimeter	WS,FLU,METHAN,O2,CTD,POS,ALTI	CTD	CTD	2020/01/24 03:15:39	in the water			4865	W2, clean ship	2020/01/24 03:52:35	on deck			4868												2020/01/24 03:33:50			4870	SLmax = 800m												
M161	M161_38-1	Fluorometer,Conductivity-Temperature-Depth Sensors,Water Sampler,Altimeter,Oxygen Sensor,Methane Sensor,Positioning System	FLU,CTD,WS,ALTI,O2,METHAN,POS	CTD	CTD	2020/01/24 05:36:33	in the water			4829	W2, clean ship	2020/01/24 06:34:28	on deck			4828												2020/01/24 05:57:18			4825	SLmax = 800m												
M161	M161_39-1	Fluorometer,Water Sampler,Methane Sensor,Positioning System,Oxygen Sensor,Altimeter,Conductivity-Temperature-Depth Sensors	FLU,WS,METHAN,POS,O2,ALTI,CTD	CTD	CTD	2020/01/24 08:03:11	in the water			4827	W2, clean ship	2020/01/24 08:28:30	on deck			4827												2020/01/24 08:13:02			4827	SLmax = 250m												
M161	M161_40-1	Water Sampler,Conductivity-Temperature-Depth Sensors,Methane Sensor,Positioning System,Fluorometer,Oxygen Sensor,Altimeter	WS,CTD,METHAN,POS,FLU,O2,ALTI	CTD	CTD	2020/01/24 12:02:26	in the water			4828	W2, clean ship	2020/01/24 12:38:28	on deck			4827												2020/01/24 12:20:56			4829	SLmax = 800m												
M161	M161_41-1	Optical Sensor	OS	Cloudkite	CKITE	2020/01/24 14:15:24	released from deck			5386		2020/01/24 14:56:00	max height			4814	1000m																											
M161	M161_42-1	Water Sampler,Methane Sensor,Conductivity-Temperature-Depth Sensors,Oxygen Sensor,Positioning System,Altimeter,Fluorometer	WS,METHAN,CTD,O2,POS,ALTI,FLU	CTD	CTD	2020/01/24 16:31:35	in the water			4820	W2, clean ship	2020/01/24 17:09:38	on deck			4821												2020/01/24 16:52:55			4816	SLmax = 800m												
M161	M161_43-1	Fluorometer,Water Sampler,Methane Sensor,Conductivity-Temperature-Depth Sensors,Altimeter,Oxygen Sensor,Positioning System	FLU,WS,METHAN,CTD,ALTI,O2,POS	CTD	CTD	2020/01/24 18:52:52	in the water			4841	W2, clean ship	2020/01/24 19:33:22	on deck			4843												2020/01/24 19:11:59			4839	SLmax = 800m												
M161	M161_44-1	Conductivity-Temperature-Depth Sensors,Fluorometer,Oxygen Sensor,Altimeter,Positioning System,Water Sampler,Methane Sensor	CTD,FLU,O2,ALTI,POS,WS,METHAN	CTD	CTD	2020/01/24 23:43:59	in the water			4832	W2, clean ship	2020/01/25 00:24:24	on deck			4833												2020/01/25 00:03:34			4831	SLmax= 800m												
M161	M161_45-1	Oxygen Sensor,Fluorometer,Conductivity-Temperature-Depth Sensors,Methane Sensor,Positioning System,Altimeter,Water Sampler	O2,FLU,CTD,METHAN,POS,ALTI,WS	CTD	CTD	2020/01/25 03:07:34	information			4953	W2, clean ship	2020/01/25 03:44:38	on deck			4953												2020/01/25 03:27:33			4952	SLmax = 800m												
M161	M161_46-1	Positioning System,Water Sampler,Conductivity-Temperature-Depth Sensors,Methane Sensor,Altimeter,Fluorometer,Oxygen Sensor	POS,WS,CTD,METHAN,ALTI,FLU,O2	CTD	CTD	2020/01/25 06:15:13	in the water			4738	W2, clean ship	2020/01/25 06:51:21	on deck			4734												2020/01/25 06:32:44			4737	SLmax = 800m												
M161	M161_47-1	Fluorometer,Oxygen Sensor,Conductivity-Temperature-Depth Sensors,Water Sampler,Methane Sensor,Altimeter,Positioning System	FLU,O2,CTD,WS,METHAN,ALTI,POS	CTD	CTD	2020/01/25 09:10:20	in the water			4464	W2, clean ship	2020/01/25 09:46:50	on deck			4458												2020/01/25 09:29:40			4462	SLmax = 800m												
M161	M161_48-1	Methane Sensor,Positioning System,Fluorometer,Conductivity-Temperature-Depth Sensors,Altimeter,Oxygen Sensor,Water Sampler	METHAN,POS,FLU,CTD,ALTI,O2,WS	CTD	CTD	2020/01/25 12:27:22	in the water			4494	W2, clean ship	2020/01/25 13:03:37	on deck			4494												2020/01/25 12:45:50			4494	SLmax = 800m												
M161	M161_49-1	Oxygen Sensor,Altimeter,Water Sampler,Conductivity-Temperature-Depth Sensors,Methane Sensor,Fluorometer,Positioning System	O2,ALTI,WS,CTD,METHAN,FLU,POS	CTD	CTD	2020/01/25 15:23:41	in the water			4471	W2, clean ship	2020/01/25 15:59:23	on deck			4472												2020/01/25 15:42:02			4471	SLmax = 800m												
M161	M161_50-1	Oxygen Sensor,Fluorometer,Altimeter,Positioning System,Water Sampler,Methane Sensor,Conductivity-Temperature-Depth Sensors	O2,FLU,ALTI,POS,WS,METHAN,CTD	CTD	CTD	2020/01/25 18:59:50	in the water			4458	W2, clean ship	2020/01/25 19:38:11	on deck			4457												2020/01/25 19:18:18			4458	SLmax = 800m												
M161	M161_51-1	Altimeter,Oxygen Sensor,Water Sampler,Conductivity-Temperature-Depth Sensors,Methane Sensor,Fluorometer,Positioning System	ALTI,O2,WS,CTD,METHAN,FLU,POS	CTD	CTD	2020/01/25 20:36:40	in the water			4486	W2, clean ship	2020/01/25 21:11:00	on deck			4486												2020/01/25 20:54:08			4486	SLmax = 800m												
M161	M161_52-1	Fluorometer,Methane Sensor,Water Sampler,Conductivity-Temperature-Depth Sensors,Positioning System,Altimeter,Oxygen Sensor	FLU,METHAN,WS,CTD,POS,ALTI,O2	CTD	CTD	2020/01/25 22:23:30	in the water			4494	W2, clean ship	2020/01/25 22:58:12	on deck			4495												2020/01/25 22:41:27			4495	SL max = 800m												
M161	M161_53-1	Positioning System,Oxygen Sensor,Fluorometer,Altimeter,Methane Sensor,Water Sampler,Conductivity-Temperature-Depth Sensors	POS,O2,FLU,ALTI,METHAN,WS,CTD	CTD	CTD	2020/01/26 00:09:38	information			4470	W2, clean ship	2020/01/26 00:44:45	on deck			4467												2020/01/26 00:28:47			4468	SLmax = 800m												
M161	M161_54-1	Positioning System,Methane Sensor,Water Sampler,Conductivity-Temperature-Depth Sensors,Oxygen Sensor,Fluorometer,Altimeter	POS,METHAN,WS,CTD,O2,FLU,ALTI	CTD	CTD	2020/01/26 02:12:31	in the water			3567	W2, clean ship	2020/01/26 02:43:15	on deck			3566												2020/01/26 02:29:26			3566	SLmax = 800m												
M161	M161_55-1	Water Sampler,Positioning System,Altimeter,Methane Sensor,Fluorometer,Conductivity-Temperature-Depth Sensors,Oxygen Sensor	WS,POS,ALTI,METHAN,FLU,CTD,O2	CTD	CTD	2020/01/26 06:57:50	in the water			4461	W2, clean ship	2020/01/26 07:33:41	on deck			4459												2020/01/26 07:15:26			4458	SLmax = 800m												
M161	M161_56-1	Water Sampler,Methane Sensor,Fluorometer,Altimeter,Oxygen Sensor,Conductivity-Temperature-Depth Sensors,Positioning System	WS,METHAN,FLU,ALTI,O2,CTD,POS	CTD	CTD	2020/01/26 09:46:19	in the water			4494	W2, clean ship	2020/01/26 10:21:56	on deck			4494												2020/01/26 10:04:46			4493	SLmax = 800m												
M161	M161_57-1	Altimeter,Oxygen Sensor,Methane Sensor,Fluorometer,Conductivity-Temperature-Depth Sensors,Positioning System,Water Sampler	ALTI,O2,METHAN,FLU,CTD,POS,WS	CTD	CTD	2020/01/26 18:53:19	in the water			4498	W2, clean ship	2020/01/26 20:10:13	on deck			4485												2020/01/26 19:32:07			4495	SLmax = 2000m												
M161	M161_58-1	Float	FLOAT	Floater	FLOAT	2020/01/26 20:17:03	in the water			4481		2020/01/26 20:17:03	in the water			4481																												
M161	M161_59-1	Positioning System,Water Sampler,Altimeter,Oxygen Sensor,Fluorometer,Conductivity-Temperature-Depth Sensors,Methane Sensor	POS,WS,ALTI,O2,FLU,CTD,METHAN	CTD	CTD	2020/01/26 22:22:11	in the water			4438	W2, clean ship	2020/01/26 22:57:07	on deck			4437												2020/01/26 22:40:25			4437	SLmax = 800m												
M161	M161_60-1	Oxygen Sensor,Positioning System,Altimeter,Fluorometer,Conductivity-Temperature-Depth Sensors,Water Sampler,Methane Sensor	O2,POS,ALTI,FLU,CTD,WS,METHAN	CTD	CTD	2020/01/27 01:04:34	in the water			4442	W2, clean ship	2020/01/27 01:42:03	on deck			4443												2020/01/27 01:23:38			4446	SLmax = 800m												
M161	M161_61-1	Altimeter,Fluorometer,Conductivity-Temperature-Depth Sensors,Water Sampler,Positioning System,Oxygen Sensor,Methane Sensor	ALTI,FLU,CTD,WS,POS,O2,METHAN	CTD	CTD	2020/01/27 04:48:28	in the water			4471	W2, clean ship	2020/01/27 05:43:44	on deck			4471												2020/01/27 05:06:57			4471	SLmax = 800m												
M161	M161_62-1	Positioning System,Conductivity-Temperature-Depth Sensors,Oxygen Sensor,Methane Sensor,Water Sampler,Fluorometer,Altimeter	POS,CTD,O2,METHAN,WS,FLU,ALTI	CTD	CTD	2020/01/27 07:05:11	in the water			4472	W2, clean ship	2020/01/27 07:33:35	on deck			4472												2020/01/27 07:13:15			4471	SLmax = 250m												
M161	M161_63-1	Water Sampler,Fluorometer,Oxygen Sensor,Positioning System,Methane Sensor,Conductivity-Temperature-Depth Sensors,Altimeter	WS,FLU,O2,POS,METHAN,CTD,ALTI	CTD	CTD	2020/01/27 09:48:56	in the water			4493	W2, clean ship	2020/01/27 10:25:24	on deck			4495												2020/01/27 10:07:45			4495	SLmax = 800m												
M161	M161_64-1	Water Sampler,Positioning System,Fluorometer,Conductivity-Temperature-Depth Sensors,Methane Sensor,Altimeter,Oxygen Sensor	WS,POS,FLU,CTD,METHAN,ALTI,O2	CTD	CTD	2020/01/27 13:00:58	in the water			4459	W2, clean ship	2020/01/27 13:40:11	on deck			4452												2020/01/27 13:20:48			4459	SLmax = 800m												
M161	M161_65-1	Water Sampler,Positioning System,Methane Sensor,Altimeter,Fluorometer,Oxygen Sensor,Conductivity-Temperature-Depth Sensors	WS,POS,METHAN,ALTI,FLU,O2,CTD	CTD	CTD	2020/01/27 16:07:44	in the water			4741	W2, clean ship	2020/01/27 16:45:37	on deck			4740												2020/01/27 16:26:38			4738	SLmax = 800m												
M161	M161_66-1	Altimeter,Oxygen Sensor,Conductivity-Temperature-Depth Sensors,Water Sampler,Positioning System,Fluorometer,Methane Sensor	ALTI,O2,CTD,WS,POS,FLU,METHAN	CTD	CTD	2020/01/27 22:27:59	in the water			4953	W2, clean ship	2020/01/27 23:02:44	on deck			4953												2020/01/27 22:45:11			4954	SLmax = 800m												
M161	M161_67-1	Methane Sensor,Conductivity-Temperature-Depth Sensors,Fluorometer,Altimeter,Oxygen Sensor,Positioning System,Water Sampler	METHAN,CTD,FLU,ALTI,O2,POS,WS	CTD	CTD	2020/01/28 01:28:15	in the water			4837	W2, clean ship	2020/01/28 02:02:34	on deck			4831												2020/01/28 01:47:08			4828	SLmax = 800m												
M161	M161_68-1	Oxygen Sensor,Water Sampler,Altimeter,Positioning System,Methane Sensor,Conductivity-Temperature-Depth Sensors,Fluorometer	O2,WS,ALTI,POS,METHAN,CTD,FLU	CTD	CTD	2020/01/28 04:31:45	in the water			4865	W2, clean ship	2020/01/28 05:08:29	on deck			4867												2020/01/28 04:49:33			4863	SLmax = 800m												
M161	M161_69-1	Positioning System,Altimeter,Oxygen Sensor,Conductivity-Temperature-Depth Sensors,Fluorometer,Water Sampler,Methane Sensor	POS,ALTI,O2,CTD,FLU,WS,METHAN	CTD	CTD	2020/01/28 07:31:06	in the water			5171	W2, clean ship	2020/01/28 08:07:14	on deck			5172												2020/01/28 07:48:49			5170	SLmax = 800m												
M161	M161_70-1	Methane Sensor,Fluorometer,Water Sampler,Conductivity-Temperature-Depth Sensors,Altimeter,Positioning System,Oxygen Sensor	METHAN,FLU,WS,CTD,ALTI,POS,O2	CTD	CTD	2020/01/28 10:32:46	in the water			5505	W2, clean ship	2020/01/28 11:08:25	on deck			5505												2020/01/28 10:50:44			5509	SLmax = 800m												
M161	M161_71-1	Oxygen Sensor,Water Sampler,Altimeter,Methane Sensor,Positioning System,Conductivity-Temperature-Depth Sensors,Fluorometer	O2,WS,ALTI,METHAN,POS,CTD,FLU	CTD	CTD	2020/01/28 13:46:59	in the water			5173	W2, clean ship	2020/01/28 14:21:23	on deck			5170												2020/01/28 14:04:29			5175	SLmax = 800m												
M161	M161_72-1	Altimeter,Methane Sensor,Water Sampler,Conductivity-Temperature-Depth Sensors,Fluorometer,Oxygen Sensor,Positioning System	ALTI,METHAN,WS,CTD,FLU,O2,POS	CTD	CTD	2020/01/28 18:40:08	in the water			4850	W2, clean ship	2020/01/28 19:17:43	on deck			4848												2020/01/28 18:58:48			4844	SLmax = 800m												
M161	M161_73-1	Conductivity-Temperature-Depth Sensors,Positioning System,Water Sampler,Methane Sensor,Oxygen Sensor,Fluorometer,Altimeter	CTD,POS,WS,METHAN,O2,FLU,ALTI	CTD	CTD	2020/01/28 21:35:43	in the water			4940	W2, clean ship	2020/01/28 22:11:20	on deck			4942												2020/01/28 21:53:30			4939	SLmax = 800m												
M161	M161_74-1	Fluorometer,Water Sampler,Conductivity-Temperature-Depth Sensors,Methane Sensor,Altimeter,Oxygen Sensor,Positioning System	FLU,WS,CTD,METHAN,ALTI,O2,POS	CTD	CTD	2020/01/29 00:31:04	in the water			4953	W2, clean ship	2020/01/29 01:03:56	on deck			4954												2020/01/29 00:49:37			4953	SLmax = 800m												
M161	M161_75-1	Fluorometer,Positioning System,Oxygen Sensor,Altimeter,Methane Sensor,Conductivity-Temperature-Depth Sensors,Water Sampler	FLU,POS,O2,ALTI,METHAN,CTD,WS	CTD	CTD	2020/01/29 03:12:28	in the water			4739	W2, clean ship	2020/01/29 03:50:54	on deck			4743												2020/01/29 03:32:03			4741	SLmax = 800m												
